Title,Salary,Company,Location
Middle Data Scientist/Machine Learning Engineer,Не вказано,АТБ-маркет,Харків (віддалено)
Machine Learning інженер з ухилом на розгортання LLM,Не вказано,"ИК Актуальная Механика, ООО",Харків (віддалено)
Lead Data Scientist/Machine Learning Engineer,Не вказано,АТБ-маркет,Харків (віддалено)
Інженер-програміст БПЛА (R&D),50 000 — 120 000 ₴,Батальйон безпілотних систем 60 ОМБр,Вся Україна
Back-end програміст (senior),22 000 — 55 000 ₴,7 Корпус Швидкого Реагування Десантно-штурмових військ,Вся Україна
