Title,Salary,Company,Location
Програміст 1С (Віддалено або в офісі),40 000 — 60 000 ₴,Intrata,Луцьк (віддалено)
Data Analyst,Не вказано,PRO.people Recruitment Agency,Київ (віддалено)
Data Analyst,Не вказано,PRO.people Recruitment Agency,Київ (віддалено)
1C розробник,Не вказано,VCHASNO GROUP,Київ (віддалено)
Head of data analyst,Не вказано,Axis-analytics,Київ (віддалено)
Програміст 1C,100 000 ₴,SOVA jewelry house,Київ (віддалено)
Провідний програміст BAS\1С,Не вказано,EBS,Київ (віддалено)
Програміст 1С/BAS,Не вказано,ABM Cloud,Київ (віддалено)
AI Solution Architect / Team Lead,Не вказано,Sense Bank,Київ (віддалено)
Senior Data Scientist,Не вказано,Sense Bank,Київ (віддалено)
Support engineer (L2),Не вказано,Fozzy Group,Київ (віддалено)
Програміст 1С,Не вказано,TA-DA!,Київ (віддалено)
Data analyst,Не вказано,Цифрове видавництво ЕКСПЕРТУС,Київ (віддалено)
Data Engineer (Microsoft Fabric),Не вказано,"ДТЕК, ТОВ, Енергетична компанія",Інші країни (віддалено)
Data scientist\Analyst (зі знанням 1С),Не вказано,Агропартнер,Київ (віддалено)
Програміст 1C,Не вказано,"ТАС АГРО, ООО",Київ (віддалено)
Старший аналітик даних (Senior Data Analyst),125 000 — 210 000 ₴,Myle Technologies,Інші країни (віддалено)
Senior Business Development Manager (Embedded Software),Не вказано,UnionTech,Харків (віддалено)
FPGA developer,Не вказано,Ozzylogik,Київ (віддалено)
"eCRM IT Business Process Automation Developer (web development, R&D)",Не вказано,Філіп Морріс Україна*,Київ (віддалено)
Data analyst (Commerce),Не вказано,MAUDAU,Київ (віддалено)
Data analyst (Growth),Не вказано,MAUDAU,Київ (віддалено)
Розробник 1С/Bas,Не вказано,ЦУМ Київ,Київ (віддалено)
Operations Manager (IGaming),Не вказано,Boosta Inc,Київ (віддалено)
Swift Developer,Не вказано,Wild Wild Group,Київ (віддалено)
Data scientist,Не вказано,"Перший Український Міжнародний Банк, АТ / ПУМБ",Київ (віддалено)
Розробник 1С,Не вказано,iSpace,Київ (віддалено)
Backend-розробник,70 000 — 100 000 ₴,Анонімна компанія,Київ (віддалено)
Data Scientist,Не вказано,"Personalities, HR Company",Київ (віддалено)
"Backend Developer (Laravel + Filament), дистанційно",Не вказано,CF.Digital,Київ (віддалено)
Product Analyst,Не вказано,JustMarkets Tech,Київ (віддалено)
1C програміст,Не вказано,InternetDevels,Луцьк (віддалено)
Middle IOS Developer,30 000 ₴,Artfol,Київ (віддалено)
"Аналітик, Консультант 1С, BAS(Дистанційно)",40 000 — 60 000 ₴,BA Group,Черкаси (віддалено)
Data Scientist,Не вказано,BETINVEST,Київ (віддалено)
Business / Data analyst,Не вказано,"UDC Mower parts, LLC",Київ (віддалено)
Програміст 1С,50 000 — 90 000 ₴,АВ-Софт,Київ (віддалено)
Програміст 1С,Не вказано,ICode,Київ (віддалено)
Go Lang developer,50 000 — 100 000 ₴,"Девелап, ЧП",Одеса (віддалено)
Програміст 1С (BAS) Дистанційно,50 000 — 80 000 ₴,Fort-B2B,Київ (віддалено)
Data Analyst / PowerBi Engineer,Не вказано,Національна служба здоров’я України,Київ (віддалено)
ІТ спеціаліст,20 000 — 60 000 ₴,"Сенатова, ФОП",Київ (віддалено)
Junior Data Science Economist,38 000 — 61 000 ₴,Mornhouse,Київ (віддалено)
Аналітик спортивних даних / Ідентифікація гравців (віддалено),12 000 — 20 000 ₴,PlayQuant,Київ (віддалено)
Senior Fullstack Developer,Не вказано,B2B Soft Inc.,Київ (віддалено)
IOS-програміст,60 000 — 100 000 ₴,"Школа Героїв, Благодійний фонд",Київ (віддалено)
Data analyst,Не вказано,"Дранко В.П., ФОП",Київ (віддалено)
Market Analyst (СS2),Не вказано,Frozeneon,Київ (віддалено)
Програміст BAS (BAF),40 000 — 60 000 ₴,"К2Р, ТОВ",Київ (віддалено)
Програміст BAS/1C (проектно),Не вказано,Golden Share Consulting Group,Київ (віддалено)
"Бізнес-аналітик | DWH-спеціаліст | OLAP-архітектор, part-time",Не вказано,BIT Impulse,Львів (віддалено)
Junior Analyst,Не вказано,The Gravity Agency,Київ (віддалено)
Програміст 1С/BAF,60 000 — 80 000 ₴,Big Brain,Харків (віддалено)
Unity C# AR Developer ( волонтерство ),Не вказано,Charity Lab Foundation,Київ (віддалено)
Програміст 1С/BAF(Дистанційно),60 000 — 80 000 ₴,BA Group,Черкаси (віддалено)
"Інженер з технічної підтримки (ПН-ПТ, 07-15 або 15-23) / Technical Support Engineer",Не вказано,ENESTECH Software,Київ (віддалено)
Financial analysts,Не вказано,Softsich,Київ (віддалено)
Data scientist,Не вказано,Fintech Farm,Дніпро (віддалено)
Marketing Analyst,Не вказано,newage.,Київ (віддалено)
"Програміст 1С, BAS",65 000 ₴,"ЕНСІТІ, ТОВ",Київ (віддалено)
Senior Data analyst,Не вказано,Fintech Farm,Дніпро (віддалено)
HR Analyst,Не вказано,MacPaw,Київ (віддалено)
Провідний програміст 1С/BAS,80 000 — 110 000 ₴,Реарден Груп / EBS,Київ (віддалено)
